gameid,blue_league,blue_year,blue_split,blue_playoffs,blue_teamname,blue_side,blue_result,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,red_league,red_year,red_split,red_playoffs,red_teamname,red_side,red_result,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,blue_win
11971-11971_game_2,LPL,2025,Split 2,0,LNG Esports,Blue,1,Taliyah,Varus,Sion,Lillia,Zyra,Azir,Skarner,Camille,Kalista,Renata Glasc,LPL,2025,Split 2,0,EDward Gaming,Red,0,Gwen,Yone,Jayce,Alistar,Rakan,Corki,Gnar,Leona,Vi,Hwei,1
11971-11971_game_3,LPL,2025,Split 2,0,EDward Gaming,Blue,1,Yone,Tristana,Sion,Alistar,Sejuani,Varus,Viego,Viktor,Poppy,Gragas,LPL,2025,Split 2,0,LNG Esports,Red,0,Gwen,Taliyah,Jayce,Renekton,Aatrox,K'Sante,Ezreal,Sylas,Pantheon,Karma,1
11972-11972_game_1,LPL,2025,Split 2,0,Top Esports,Blue,1,Jayce,Ambessa,Varus,Ezreal,Xayah,Gwen,Vi,Ahri,Kai'Sa,Poppy,LPL,2025,Split 2,0,Weibo Gaming,Red,0,Rumble,Kalista,Yone,Braum,Miss Fortune,Naafiri,Gnar,Ryze,Alistar,Jhin,1
11972-11972_game_2,LPL,2025,Split 2,0,Weibo Gaming,Blue,1,Kalista,Varus,Yone,Braum,Renekton,Sion,Taliyah,Ezreal,Leona,Lillia,LPL,2025,Split 2,0,Top Esports,Red,0,Ambessa,Aurora,Rumble,Xin Zhao,Nautilus,Miss Fortune,Azir,Skarner,Rell,Jayce,1
11972-11972_game_3,LPL,2025,Split 2,0,Top Esports,Blue,1,Ambessa,Kalista,Aurora,Sylas,Rakan,Renekton,Sejuani,Viktor,Nautilus,Draven,LPL,2025,Split 2,0,Weibo Gaming,Red,0,Yone,Varus,Rumble,Ashe,Jinx,Corki,Jax,Xin Zhao,Orianna,Braum,1
LOLTMNT06_110205,LEC,2025,Spring,0,GiantX,Blue,1,Azir,Aurora,Ezreal,Nautilus,Viktor,Skarner,Gwen,Corki,Neeko,Orianna,LEC,2025,Spring,0,Rogue,Red,0,Kalista,Yone,Rumble,Rell,Tristana,Maokai,Varus,Jayce,Taliyah,Karma,1
LOLTMNT06_110211,LEC,2025,Spring,0,Rogue,Blue,0,Kalista,Yone,Ambessa,Jax,Gnar,Viktor,Ezreal,Jarvan IV,Rell,Olaf,LEC,2025,Spring,0,GiantX,Red,1,Azir,Rumble,Aurora,Alistar,Renekton,Sejuani,Hwei,Kai'Sa,Aatrox,Poppy,0
LOLTMNT06_111217,LEC,2025,Spring,0,Movistar KOI,Blue,1,Jax,Jayce,Ivern,Rell,Braum,Varus,Rumble,Yone,Sejuani,Rakan,LEC,2025,Spring,0,Team Heretics,Red,0,Gwen,Maokai,Kalista,Skarner,Vi,Corki,Zyra,Ambessa,Leona,Tristana,1
LOLTMNT06_110226,LEC,2025,Spring,0,Team Heretics,Blue,0,Gwen,Azir,Kalista,Jayce,Gnar,Skarner,Viktor,Rell,K'Sante,Draven,LEC,2025,Spring,0,Movistar KOI,Red,1,Maokai,Ivern,Jax,Miss Fortune,Xayah,Vi,Aurora,Alistar,Kai'Sa,Taliyah,0
11973-11973_game_1,LPL,2025,Split 2,0,FunPlus Phoenix,Blue,0,Yone,Vi,Renekton,Sejuani,Xin Zhao,Skarner,Ambessa,Ahri,Miss Fortune,Nautilus,LPL,2025,Split 2,0,Top Esports,Red,1,Gwen,Rumble,Naafiri,Neeko,Kalista,Varus,Jayce,Azir,Pantheon,Braum,0
11973-11973_game_2,LPL,2025,Split 2,0,FunPlus Phoenix,Blue,0,Vi,Renekton,Akali,Leona,Gnar,Yone,Lillia,Sion,Corki,Rell,LPL,2025,Split 2,0,Top Esports,Red,1,Naafiri,Gwen,Rumble,Kai'Sa,Kalista,Tristana,Ezreal,Nidalee,Ornn,Alistar,0
11974-11974_game_1,LPL,2025,Split 2,0,Anyone's Legend,Blue,1,Ahri,Miss Fortune,Vi,Ziggs,Kai'Sa,Varus,Lillia,Tristana,Poppy,Ambessa,LPL,2025,Split 2,0,Invictus Gaming,Red,0,Gwen,Rumble,Naafiri,Sion,Gragas,Yone,Sejuani,Jayce,Alistar,Ezreal,1
11974-11974_game_2,LPL,2025,Split 2,0,Invictus Gaming,Blue,0,Kalista,Naafiri,Skarner,Corki,Ashe,Vi,Miss Fortune,Viktor,Cho'Gath,Nautilus,LPL,2025,Split 2,0,Anyone's Legend,Red,1,Gwen,Rumble,Ahri,Gnar,Leona,Sion,Taliyah,Xin Zhao,Kai'Sa,Rell,0
LOLTMNT03_218043,LCK,2025,Rounds 1-2,0,DN SOOPers,Blue,0,Varus,Yone,Kalista,Ezreal,Alistar,Gwen,Naafiri,Ahri,Corki,Rakan,LCK,2025,Rounds 1-2,0,Hanwha Life Esports,Red,1,Taliyah,Sejuani,Vi,Miss Fortune,Ashe,Azir,Xin Zhao,Jayce,Kai'Sa,Poppy,0
LOLTMNT03_218051,LCK,2025,Rounds 1-2,0,DN SOOPers,Blue,1,Varus,Yone,Renekton,Skarner,Leona,Ambessa,Sejuani,Taliyah,Tristana,Nautilus,LCK,2025,Rounds 1-2,0,Hanwha Life Esports,Red,0,Vi,Rumble,Kalista,Miss Fortune,Ashe,Ezreal,Nidalee,Ryze,Gnar,Rell,1
11975-11975_game_1,LPL,2025,Split 2,0,LGD Gaming,Blue,0,Jayce,Varus,Yone,Ashe,Kai'Sa,Naafiri,Gwen,Ryze,Nautilus,Ezreal,LPL,2025,Split 2,0,Oh My God,Red,1,Skarner,Rumble,Kalista,Draven,Alistar,Xin Zhao,Aurora,Gnar,Jhin,Rell,0
LOLTMNT03_217087,LCK,2025,Rounds 1-2,0,Hanwha Life Esports,Blue,1,Ashe,Skarner,Varus,Nocturne,Lee Sin,Vi,Aurora,Alistar,Zeri,Akali,LCK,2025,Rounds 1-2,0,DN SOOPers,Red,0,Yone,Sylas,Kalista,Jhin,Galio,Rumble,Miss Fortune,Orianna,Wukong,Taric,1
11975-11975_game_2,LPL,2025,Split 2,0,LGD Gaming,Blue,1,Jayce,Varus,Yone,Kai'Sa,Xayah,Vi,Azir,Ambessa,Caitlyn,Neeko,LPL,2025,Split 2,0,Oh My God,Red,0,Skarner,Rumble,Kalista,Draven,Miss Fortune,Sion,Poppy,Ahri,Corki,Elise,1
LOLTMNT03_218101,LCK,2025,Rounds 1-2,0,Dplus Kia,Blue,1,Azir,Sejuani,Kalista,Rakan,Poppy,Rumble,Ezreal,Naafiri,Alistar,Ahri,LCK,2025,Rounds 1-2,0,HANJIN BRION,Red,0,Gwen,Vi,Varus,LeBlanc,Ryze,Aurora,Skarner,Yone,Kai'Sa,Elise,1
11975-11975_game_3,LPL,2025,Split 2,0,Oh My God,Blue,0,Kalista,Jax,Skarner,Draven,Sivir,Varus,Yasuo,Maokai,Rakan,Renekton,LPL,2025,Split 2,0,LGD Gaming,Red,1,Jayce,Rumble,Yone,Renata Glasc,Leona,Lillia,Tristana,Alistar,Miss Fortune,Udyr,0
LOLTMNT03_218134,LCK,2025,Rounds 1-2,0,HANJIN BRION,Blue,0,Varus,Jayce,Sejuani,Nautilus,Leona,Azir,Poppy,Ambessa,Corki,Rell,LCK,2025,Rounds 1-2,0,Dplus Kia,Red,1,Kalista,Vi,Gwen,Ashe,Rakan,Taliyah,Xin Zhao,Renekton,Miss Fortune,Maokai,0
11976-11976_game_1,LPL,2025,Split 2,0,JD Gaming,Blue,1,Aurora,Naafiri,Varus,Poppy,Ezreal,Vi,Ahri,Kennen,Miss Fortune,Alistar,LPL,2025,Split 2,0,Team WE,Red,0,Kalista,Skarner,Sejuani,Rakan,Kai'Sa,Rumble,Gwen,Corki,Jhin,Nautilus,1
